,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,docs_url,trending,updated_github_id
0,transformers,huggingface/transformers,transformers,[],transformer,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00,2024-02-22 18:04:23,2024-02-22 15:40:06,15182,606.0,22987.0,1083.0,14783.0,761.0,13319.0,120610,2024-02-22 00:24:34,4.38.1,100.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",140171.0,140171.0,2425.0,https://pypi.org/project/transformers,21962634.0,21962634.0,50,True,1,,,,
1,fastapi,tiangolo/fastapi,fastapi,[],microservice-frameworks,https://github.com/tiangolo/fastapi,https://github.com/tiangolo/fastapi,MIT,2018-12-08 08:21:47,2024-02-22 16:47:44,2024-02-21 22:27:53,3806,488.0,5595.0,655.0,3091.0,40.0,3349.0,68458,2024-02-04 21:25:05,0.109.2,100.0,"FastAPI framework, high performance, easy to learn, fast to code, ready for production.",311199.0,311199.0,591.0,https://pypi.org/project/fastapi,47691925.0,47691925.0,47,True,1,,,,
2,SpaCy,explosion/spaCy,spacy,[],nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40,2024-02-20 12:17:52,2024-02-20 12:17:51,16117,39.0,4179.0,556.0,3964.0,83.0,5472.0,28301,2024-02-15 19:16:59,3.7.4,100.0,Industrial-strength Natural Language Processing (NLP) in Python.,80865.0,80865.0,748.0,https://pypi.org/project/spacy,6160886.0,6160886.0,44,True,1,,,,
3,ray,ray-project/ray,ray,[],distributed-application,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30,2024-02-22 18:06:05,2024-02-22 18:06:04,20727,797.0,4979.0,468.0,26352.0,3122.0,13586.0,30016,2024-02-06 01:23:15,ray-2.9.2,78.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,13824.0,13824.0,977.0,https://pypi.org/project/ray,3140554.0,3140556.0,43,True,1,208.0,,,
4,prefect,PrefectHQ/prefect,prefect,[],data-workflows,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26,2024-02-22 17:41:07,2024-02-22 17:03:54,15869,485.0,1397.0,157.0,6977.0,641.0,3863.0,14088,2024-02-15 20:56:49,2.15.0,100.0,"Prefect is a workflow orchestration tool empowering developers to build, observe, and react to data pipelines.",4482.0,4482.0,228.0,https://pypi.org/project/prefect,733750.0,733750.0,43,True,1,,,,
5,jina,jina-ai/jina,jina,[],ai-service-deployment-framework,https://github.com/jina-ai/jina,https://github.com/jina-ai/jina,Apache-2.0,2020-02-13 17:04:44,2024-02-19 10:12:25,2024-02-16 23:03:14,8515,16.0,2152.0,207.0,4158.0,12.0,1915.0,19689,2024-02-16 10:59:33,3.23.3,100.0,Build multimodal AI applications with cloud-native stack.,1595.0,1595.0,176.0,https://pypi.org/project/jina,149817.0,149817.0,39,True,1,,,,
6,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],databases-sql,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2024-02-21 23:02:13,2024-02-17 13:53:16,376,41.0,507.0,150.0,330.0,173.0,153.0,12329,2024-02-17 13:54:28,0.0.16,15.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",9895.0,9895.0,71.0,https://pypi.org/project/sqlmodel,729982.0,729982.0,36,True,1,,,,
7,litestar,litestar-org/litestar,litestar,[],microservice-frameworks,https://github.com/litestar-org/litestar,https://github.com/litestar-org/litestar,MIT,2021-12-06 19:43:06,2024-02-22 14:26:33,2024-02-22 11:09:52,2611,201.0,302.0,35.0,2043.0,112.0,787.0,3982,2024-02-14 14:36:19,2.6.1,100.0,"Production-ready, Light, Flexible and Extensible ASGI API framework | Effortlessly Build Performant APIs.",391.0,391.0,177.0,https://pypi.org/project/litestar,33013.0,33013.0,34,True,3,,,,
8,datamodel-code-generator,koxudaxi/datamodel-code-generator,datamodel-code-generator,[],code-generator,https://github.com/koxudaxi/datamodel-code-generator,https://github.com/koxudaxi/datamodel-code-generator,MIT,2019-05-29 08:01:32,2024-02-20 20:03:18,2024-02-13 18:06:56,1059,52.0,243.0,23.0,1351.0,129.0,341.0,2148,2024-02-13 18:09:23,0.25.4,100.0,"Pydantic model and dataclasses.dataclass generator for easy conversion of JSON, OpenAPI, JSON Schema, and YAML data..",1090.0,1090.0,111.0,https://pypi.org/project/datamodel-code-generator,780365.0,780365.0,34,True,1,,,,
9,django-ninja,vitalik/django-ninja,django-ninja,[],http-server-integrations,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,MIT,2020-05-19 08:48:53,2024-02-20 05:00:43,2024-02-09 10:23:44,1081,51.0,351.0,76.0,294.0,245.0,457.0,5904,2023-12-07 22:13:04,1.1.0,39.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",2074.0,2074.0,128.0,https://pypi.org/project/django-ninja,266765.0,266765.0,33,True,1,,,,
