,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,docs_url,github_release_downloads,updated_github_id
0,fastapi,tiangolo/fastapi,fastapi,[],microservice-frameworks,https://github.com/tiangolo/fastapi,https://github.com/tiangolo/fastapi,MIT,2018-12-08 08:21:47,2023-05-04 07:30:00,2023-05-02 06:28:23,2812,174.0,4692.0,625.0,2254.0,18.0,3305.0,57442.0,2023-04-13 19:10:27,0.95.1,100.0,"FastAPI framework, high performance, easy to learn, fast to code, ready for production.",175917.0,175917.0,443.0,https://pypi.org/project/fastapi,16104395.0,16104395.0,44,True,1,,,,
1,prefect,PrefectHQ/prefect,prefect,[],data-workflows,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26,2023-05-04 18:05:34,2023-05-04 18:04:42,14436,571.0,1179.0,152.0,5284.0,444.0,3194.0,11842.0,2023-04-27 19:04:58,2.10.6,100.0,The easiest way to orchestrate and observe your data pipelines.,2758.0,2758.0,149.0,https://pypi.org/project/prefect,656450.0,656450.0,42,True,1,1.0,,,
2,django-ninja,vitalik/django-ninja,django-ninja,[],http-server-integrations,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,MIT,2020-05-19 08:48:53,2023-05-03 06:02:10,2023-04-26 12:43:55,816,54.0,272.0,61.0,211.0,152.0,331.0,4339.0,2023-02-24 14:16:23,.0.21.0,27.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",1290.0,1290.0,88.0,https://pypi.org/project/django-ninja,91739.0,91739.0,32,True,1,,,,
3,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-server-integrations,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2023-05-04 17:57:22,2023-05-03 10:40:17,2700,152.0,393.0,44.0,1957.0,266.0,446.0,3175.0,2023-05-03 10:40:40,0.176.3,100.0,A GraphQL library for Python that leverages type annotations.,1767.0,1767.0,198.0,https://pypi.org/project/strawberry,504.0,558.0,32,True,1,,https://strawberry.rocks/docs/integrations/pydantic#pydantic-support,433.0,
4,pandera,unionai-oss/pandera,pandera,[],data-testing,https://github.com/unionai-oss/pandera,https://github.com/unionai-oss/pandera,MIT,2018-11-01 02:18:34,2023-05-04 17:48:38,2023-05-01 20:25:15,539,28.0,182.0,15.0,497.0,191.0,382.0,2292.0,2023-03-20 22:46:22,0.14.5,61.0,"A light-weight, flexible, and expressive statistical data testing library.",793.0,793.0,90.0,https://pypi.org/project/pandera,749108.0,749108.0,31,True,1,,https://pandera.readthedocs.io/en/stable/pydantic_integration.html,,
5,datamodel-code-generator,koxudaxi/datamodel-code-generator,datamodel-code-generator,[],model-generators,https://github.com/koxudaxi/datamodel-code-generator,https://github.com/koxudaxi/datamodel-code-generator,MIT,2019-05-29 08:01:32,2023-05-04 06:24:54,2023-05-04 06:24:12,793,110.0,172.0,20.0,979.0,50.0,243.0,1585.0,2023-04-27 15:40:00,0.18.1,100.0,"Pydantic model and dataclasses.dataclass generator for easy conversion of JSON, OpenAPI, JSON Schema, and YAML data..",689.0,689.0,68.0,https://pypi.org/project/datamodel-code-generator,254659.0,254659.0,31,True,1,-1.0,,,
6,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],databases-sql,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2023-04-30 15:48:35,2023-02-21 11:02:54,236,2.0,409.0,134.0,232.0,176.0,146.0,9824.0,2022-08-30 17:56:11,0.0.8,7.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",5745.0,5745.0,54.0,https://pypi.org/project/sqlmodel,373486.0,373486.0,30,True,1,-1.0,,,
7,aws-lambda-powertools-python,awslabs/aws-lambda-powertools-python,aws-lambda-powertools-python,[],aws,https://github.com/awslabs/aws-lambda-powertools-python,https://github.com/awslabs/aws-lambda-powertools-python,MIT-0,2019-11-15 12:26:12,2023-05-04 16:34:59,2023-05-04 16:28:04,2350,309.0,275.0,58.0,1414.0,66.0,558.0,2071.0,2023-05-04 16:34:59,2.15.0,96.0,A developer toolkit to implement Serverless best practices and increase developer velocity.,1502.0,1502.0,107.0,https://pypi.org/project/aws-lambda-powertools-python,,,29,False,1,,,,
8,beanie,roman-right/beanie,beanie,[],databases-document,https://github.com/roman-right/beanie,https://github.com/roman-right/beanie,Apache-2.0,2021-02-23 20:11:23,2023-05-04 16:44:25,2023-03-31 19:43:43,383,7.0,112.0,15.0,219.0,39.0,203.0,1178.0,2023-04-12 08:10:30,1.18.0,92.0,Asynchronous Python ODM for MongoDB.,984.0,984.0,43.0,https://pypi.org/project/beanie,50648.0,50648.0,28,True,1,-1.0,,,
9,elementary,elementary-data/elementary,elementary,[],data-observability,https://github.com/elementary-data/elementary,https://github.com/elementary-data/elementary,Apache-2.0,2021-08-30 08:45:23,2023-05-04 12:33:31,2023-05-03 20:23:29,3275,509.0,82.0,9.0,567.0,92.0,186.0,1157.0,2023-04-27 12:28:17,0.7.8,69.0,Open-source data observability for analytics engineers.,19.0,19.0,44.0,https://pypi.org/project/elementary,,,25,True,1,,,,
