,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,docs_url,trending,updated_github_id
0,transformers,huggingface/transformers,transformers,[],transformer,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00,2023-12-07 17:54:43,2023-12-07 15:11:35,14664,726.0,22182.0,1080.0,14085.0,686.0,12777.0,116663,2023-11-15 16:39:42,4.35.2,100.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",119702.0,119702.0,2293.0,https://pypi.org/project/transformers,18243118.0,18243118.0,50,True,1,,,,
1,fastapi,tiangolo/fastapi,fastapi,[],microservice-frameworks,https://github.com/tiangolo/fastapi,https://github.com/tiangolo/fastapi,MIT,2018-12-08 08:21:47,2023-12-07 14:04:15,2023-12-06 11:34:10,3328,118.0,5357.0,647.0,2867.0,31.0,3342.0,65517,2023-10-30 10:05:55,0.104.1,100.0,"FastAPI framework, high performance, easy to learn, fast to code, ready for production.",275353.0,275353.0,514.0,https://pypi.org/project/fastapi,26561333.0,26561333.0,46,True,1,,,,
2,ray,ray-project/ray,ray,[],distributed-application,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30,2023-12-07 17:50:27,2023-12-07 17:26:46,20061,959.0,4794.0,469.0,25337.0,3090.0,12980.0,28937,2023-12-01 23:08:01,ray-2.8.1,75.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,12628.0,12628.0,949.0,https://pypi.org/project/ray,2567278.0,2567279.0,44,True,1,133.0,,,
3,SpaCy,explosion/spaCy,spacy,[],nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40,2023-12-07 15:21:21,2023-12-04 14:15:54,16077,64.0,4147.0,565.0,3925.0,75.0,5439.0,27743,2023-10-16 16:11:22,3.7.2,100.0,Industrial-strength Natural Language Processing (NLP) in Python.,75567.0,75567.0,745.0,https://pypi.org/project/spacy,6717644.0,6717644.0,44,True,1,,,,
4,prefect,PrefectHQ/prefect,prefect,[],data-workflows,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26,2023-12-07 18:03:30,2023-12-07 16:34:40,15433,385.0,1349.0,157.0,6464.0,596.0,3729.0,13479,2023-11-30 19:58:29,2.14.9,100.0,"Prefect is a workflow orchestration tool empowering developers to build, observe, and react to data pipelines.",4072.0,4072.0,208.0,https://pypi.org/project/prefect,690976.0,690976.0,43,True,1,,,,
5,jina,jina-ai/jina,jina,[],ai-service-deployment-framework,https://github.com/jina-ai/jina,https://github.com/jina-ai/jina,Apache-2.0,2020-02-13 17:04:44,2023-12-07 15:49:14,2023-12-06 19:03:22,8505,69.0,2142.0,205.0,4149.0,13.0,1907.0,19409,2023-12-01 09:27:38,3.23.1,100.0,Build multimodal AI applications with cloud-native stack.,1348.0,1348.0,177.0,https://pypi.org/project/jina,68164.0,68164.0,40,True,1,,,,
6,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],databases-sql,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2023-12-06 22:41:43,2023-12-04 14:51:20,365,119.0,480.0,150.0,302.0,173.0,153.0,11596,2023-12-04 14:53:29,0.0.14,13.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",8489.0,8489.0,71.0,https://pypi.org/project/sqlmodel,662489.0,662489.0,37,True,1,,,,
7,litestar,litestar-org/litestar,litestar,[],microservice-frameworks,https://github.com/litestar-org/litestar,https://github.com/litestar-org/litestar,MIT,2021-12-06 19:43:06,2023-12-07 17:22:26,2023-12-07 17:05:54,2451,302.0,278.0,32.0,1872.0,96.0,726.0,3547,2023-12-07 17:12:18,2.4.3,100.0,"Production-ready, Light, Flexible and Extensible ASGI API framework | Effortlessly Build Performant APIs.",293.0,293.0,160.0,https://pypi.org/project/litestar,19042.0,19042.0,34,True,3,,,,
8,datamodel-code-generator,koxudaxi/datamodel-code-generator,datamodel-code-generator,[],code-generator,https://github.com/koxudaxi/datamodel-code-generator,https://github.com/koxudaxi/datamodel-code-generator,MIT,2019-05-29 08:01:32,2023-12-05 01:42:07,2023-12-04 15:45:37,1017,121.0,229.0,21.0,1299.0,100.0,327.0,1994,2023-11-26 16:56:40,0.25.1,100.0,"Pydantic model and dataclasses.dataclass generator for easy conversion of JSON, OpenAPI, JSON Schema, and YAML data..",987.0,987.0,103.0,https://pypi.org/project/datamodel-code-generator,599187.0,599187.0,34,True,1,,,,
9,django-ninja,vitalik/django-ninja,django-ninja,[],http-server-integrations,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,MIT,2020-05-19 08:48:53,2023-12-05 16:43:59,2023-12-05 16:43:59,1041,125.0,327.0,72.0,266.0,188.0,441.0,5409,2023-11-17 10:15:21,1.0.1,38.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",1834.0,1834.0,119.0,https://pypi.org/project/django-ninja,227365.0,227365.0,33,True,1,,,,
